intel core i9-13900k, £250.00
Intel Core i9-10980XE processor 4.8 GHz 24.75 MB Smart Cache Box, £679.99
2x Intel Core i9-9900X CPU 10-Core 3.5GHZ  SREZ7 LGA2066 - Untested/Spares, £79.99
Intel Core i9-9900K- 8C/16T- 3.60-5.00GHz Socket Intel 1151v2, £209.20
Intel Core i9-9900K 3.6GHz 8-Core Processor (BX806849900K), £171.56
Intel Core i9-12900 Processor (5.1 GHz- 16 Cores- LGA 1700) Tray -..., £444.50
Intel Core i9-12900 Processor (5.1GHz- 16-Core- LGA 1700) Box - BX8071512900, £170.77
intel core i9-10900k (3.7GHz) LGA1200, £204.00
Intel Core i9-9900K 3.6GHz 8-Core Processor Used, £132.96
Intel Core i9-12900K ES QX7E 1.8GHz 16Core 24Thread 125W LGA1700 CPU Processor, £185.00
Intel Core i9-9900K 5.00GHz Processor, £180.00
Intel Core i9-10900 3.7GHz 20MB Processor Cache, £247.62
Intel Core i9 12900K ES QX7E 1.8GHz LGA1700 CPU Processor *READ DESCRIPTION*, £150.00
Intel Core i9-9900K ES QQBY 3.1Ghz 8 Core LGA1151 CPU Processor, £220.00
intel core i9-11900k, £2.13
Intel Core i9-11900KF 3.5GHz 8-Cores 16-Threads 16MB LGA1200 SRKNF CPU Processor, £175.00
Intel i9-7980XE Extreme 18-Core 4.5Ghz Turbo SR3RS LGA-2066 X299 CPU Processor, £263.84
Intel Core i9 12900KS Special Edition 16 Core Alder Lake Unlocked Processor NEW, £309.00 £449.00
Intel Core 12th i9-12900H NVIDIA GTX1060 Gaming PC Mini PC NUC Desktop 32G 2TB, £190.29 to £671.75
Intel Core i9-10900K Processor (3.7 GHz- 10 Cores- LGA 1200) - Intel 400 Series, £173.51
Intel Core i9-12900KF Gaming Processor (5.2 GHz- 16 Cores- FCLGA1700) RRP $999, £1.17
Intel Core i9-10900X 3.7GHz / 4.7Ghz Turbo Processor- 10 Cores - 20 Threads, £340.69
Intel Core i9-11900KF 3.5GHz LGA 1200 8 Cores SRKNF Processor CPU, £187.16
Intel Core i9-13900k CPU- LGA1700 Socket- 36MB Cache- Boxed- No Cooler, £247.62
Intel Core I9-10900X 2066 3.7GHz (4.5 Turbo) 10-Core 165W 19.25MB Cache Overcloc, £102.00
Intel Core i9-12900KF 5.2 GHz Unlocked Processor, £157.00 £349.99
Intel Core i9-9900K - 3.60GHz, £243.68
Intel Core I9-12900KF ES QX7H 1.2 GHz 16 Core 125W LGA1700 CPU Processor, £135.00
Intel Core i9-13900K CPU Processor + FREE FAST DELIVERY, £430.00
Delidded Intel Core i9-7980XE Processor 2.6 GHz 18-Core CPU , £213.48
intel i9 motherboard cpu bundle, £450.00
Intel Core i9-12900KF ES QX7H  CPU Processor Core i9 12th Gen 1.2GHz 16 Core, £195.00
Intel i9-13900 ES2 Q0L4 24c/32 t CPU processor For Asus ROG STRIX Z790-F GAMING, £297.00
Intel Core I9-10900T ES QTB0 1.5GHz 10 Core 20 Thread LGA1200 CPU Processor, £145.00
Intel Core i9-10980XE + ASUS Prime X299 Deluxe + EK Monoblock, £832.34
Intel Core i9 13900K & Intel Core i5 13600K 13th Gen - FAULTY - SPARES, £106.00
Intel i9-7980XE BX80673I97980X Core Processors, £194.94
Intel® Core™ i9-10980XE Processor Extreme Edition, £495.24
Intel Core i9-12900K Processor (5.2 GHz- 16 Cores- FCLGA1700), £184.00
Intel Core i9-10850K Desktop Processor 10-Core 3.6 GHz Unlocked LGA1200 125 A-1, £302.36
INTEL CORE PROCESSOR i9-13900K BOX EMPTY BOX STICKER BOOKLET 13TH GEN, £42.69
Intel Core i9-10900KF Processor (5.3 GHz- 10 Cores- Socket LGA1200- Box 10900K), £142.00
Intel Core i9 11900T ES QV1L 1.1GHz Turbo to 3.5GHz 8 Core LGA1200 35W, £149.53
Shop on eBay, $20.00
Windows 11 Gaming PC Intel i9 RTX 3090 64GB Memory 2TB NVME SSD Aio RGB, £597.66 to £1,818.68
Brand New Intel Core i9-13900K Processor (5.8 GHz- LGA 1700)  - BX8071513900K, £500.00
Intel Core i7-7820x es i9-7900x es version cpu lga2066 support x299 QL2T QM9S, £68.74 to £102.49
Intel Core i9 10900K CPU Processor (5.3 GHz- 10 Cores- Socket LGA1200) Boxed., £95.00
Intel Core i9-13900T ES QOPV Q0PV 24 Cores 32 Threads 35W LGA 1700 CPU Processor, £310.00
Intel Core i9-13900K Processor (5.8GHz- 24 Core- LGA 1700) Box - BX8071513900K, £2.99
Intel Core i9 i7 i5 i3 Pentium 8 GT/s FSB Socket 1151 LGA 1151 / Socket H4 TOP, £8.50 to £295.39
intel i9-7920x 12core 24Threads Unlocked, £85.39
Intel NUC Extreme Intel Core i9-9980H CPU 32GB RAM 1TB M.2 Thunderbolt, £579.99
Intel Core I9-9900T ES Version QQC0 1.7GHz 8Core 16Threads LGA1151 CPU Processor, £140.00
Intel Core i9-10900KF Processor (5.3 GHz- 10 Cores- Socket LGA1200- Tray), £97.87
Intel Core i9-13900K ES3 Q0PU 24C LGA1700 C-display NO BUG CPU Processor, £399.98
Intel Core i9-12900 Processor Sealed, £267.00
Intel Core I9-9900kf Desktop Processor 8 Cores Without Graphics BX80684I99900KF, £150.12
INTEL I9-9900 SRG18 3.10 GHz CPU, £292.43
Intel Core i9-10940X SRGSH 3.3-4.6GHz 14Cores 28T LGA 2066 CPU Processor 165W, £389.13
